index	u_check
0	1.672299261361223
1	-1.1520953475076368
2	-1.2351825827057432
3	-0.28850350316775053
4	0.36920157289926525
5	0.43059848657804434
6	0.18864360890565865
7	-0.02480316949907227
8	-0.08902455795003894
9	-0.0523836415769751
10	-0.0007812574431824565
11	0.021550489733584137
12	0.01662004553868027
13	0.003705843480792474
14	-0.003907035561686081
15	-0.004320374934108456
16	-0.0015605541855284602
17	0.0006237459494981431
18	0.0011022074214585157
19	0.0005625648332771788
20	-3.136392840477479e-05
21	-0.00025046041799473473
22	-0.00017099262808745156
23	-2.376128533154663e-05
24	5.2173939116466155e-05
25	4.81598405961993e-05
26	1.4301033358401955e-05
27	-9.017917794329318e-06
28	-1.2437705134020766e-05
29	-5.48508922802754e-06
30	1.0199673464235786e-06
31	2.981859067971867e-06
32	1.7817385636834343e-06
33	1.004416966801255e-07
34	-6.49869077450564e-07
35	-5.1911901642009e-07
36	-1.180073616521828e-07
37	1.241242835177284e-07
38	1.3935790882875255e-07
39	5.216383114678545e-08
40	-1.8224839536797883e-08
41	-3.4613328560342357e-08
42	-1.8074770105206674e-08
43	7.604670772836152e-10
44	7.905657964702632e-09
45	5.511369629640176e-09
46	8.448446168152554e-10
47	-1.6177261478688427e-09
48	-1.5342898417608376e-09
49	-4.721140288571841e-10
50	2.75953392696333e-10
51	3.950255455557848e-10
52	1.7867854916011986e-10
53	-2.8988586277639728e-11
54	-9.395415897525401e-11
55	-5.7388838094716726e-11
56	-4.067963119767997e-12
57	2.0327448510842793e-11
58	1.6618453414915594e-11
59	3.973796758942218e-12
60	-3.828014934287637e-12
61	-4.433119235082081e-12
62	-1.708029076432078e-12
63	5.441108510348388e-13
64	1.0947050731094794e-12
65	5.848101188022754e-13
66	-1.4334687616801275e-14
67	-2.482139869870959e-13
68	-1.7691160268447353e-13
69	-2.937210938025698e-14
70	5.027108462437642e-14
71	4.8946509116840347e-14
72	1.5605169018610783e-14
73	-8.402702707124553e-15
74	-1.2527915837641165e-14
75	-5.808380194033079e-15
76	8.150398247752243e-16
77	2.960504868854493e-15
78	1.8483238593378646e-15
79	1.5763232917925229e-16
80	-6.350895329020884e-16
81	-5.316181701284974e-16
82	-1.332877381922601e-16
83	1.1791663745125906e-16
84	1.4097794248153494e-16
85	5.586899311923766e-17
86	-1.6160778147963268e-17
87	-3.460227730693447e-17
88	-1.8906901684521786e-17
89	1.425952744650703e-19
90	7.788549643246486e-18
91	5.6760437766846494e-18
92	1.0135629411501615e-18
93	-1.5604924307210167e-18
94	-1.5607486224712536e-18
95	-5.148676834260432e-19
96	2.5522240417292836e-19
97	3.971337063681553e-19
98	1.8865328245171566e-19
99	-2.25029749472599e-20
